Ticker,Price Close,P_E,P_B,Current_Ratio,Debt_to_Equity,Dividend_Yield,Payout_Ratio,Rev_Growth_YoY,EPS_Growth_YoY,Gross_Margin,Price_6M_Return,Volume,Vol_Avg_20,RSI_14,MA50,MA200,Market_Cap,ROE,ROA,Net_Debt,Net_Debt_EBITDA,FCF_Yield,Company_Name,P_E_raw,P_B_raw,Current_Ratio_raw,Debt_to_Equity_raw,Dividend_Yield_raw,Payout_Ratio_raw,Rev_Growth_YoY_raw,EPS_Growth_YoY_raw,Gross_Margin_raw,ROE_raw,ROA_raw,Net_Debt_EBITDA_raw,FCF_Yield_raw,Revenue,EPS_Basic,DPS_Net,Op_CashFlow,Total_Current_Assets,Total_Current_Liabilities,Debt_Total,Total_Equity,Shares_Outstanding
NUEVAREG.SN,1.0,-18.59427296392711,0.0222701094921784,,,0.0,,,-0.05845306042117694,,0.0,0.0,0.0,0.0,1.0,1.0,299921497.0,-0.0011970603119592158,-0.0011953859037835508,,,,Inversiones Nueva Region SA,-18.59427296392711,0.0222701094921784,,,0.0,,,-0.05845306042117694,,-0.0011970603119592158,-0.0011953859037835508,,,0.0,-0.05378,0.0,-17757000.0,,6765000.0,,13467446000.0,299921497.0
STMCHB.SN,0.00689542,20.874034552590956,3.963530532259091,0.33070959378804443,0.006797185813332387,,,0.0,,0.772711036130187,0.0,0.0,0.0,,0.00689542,0.00689542,793485051180.262,0.189878507783112,0.09570631072808396,-1281061000.0,-0.015717863527025897,-0.034704365203906185,Sociedad de Transmision Metropolitana II SA,20.874034552590956,3.963530532259091,0.33070959378804443,0.006797185813332387,,,0.0,,0.772711036130187,0.189878507783112,0.09570631072808396,-0.015717863527025897,-0.034704365203906185,103148013000.0,,0.0,4035124000.0,62943451000.0,190328470000.0,1360773000.0,200196528000.0,115074216100000.0
PUNTILLA.SN,2000.0,90.65172242805198,2.714451842885383,2.0979571591547312,0.2558896652843618,0.0,0.0,-0.06406152541746349,1.0315181989303464,0.4921683310627554,0.0,0.0,1.2,1.7051277723112435e-08,2000.0,2000.0,150178324000.0,0.030398271880082376,0.012271793401549554,2496913000.0,0.636882142855321,0.005259906882433979,Electrica Puntilla SA,90.65172242805198,2.714451842885383,2.0979571591547312,0.2558896652843618,0.0,0.0,-0.06406152541746349,1.0315181989303464,0.4921683310627554,0.030398271880082376,0.012271793401549554,0.636882142855321,0.005259906882433979,10001125000.0,22.06246,0.0,4318678000.0,14097563000.0,6719662000.0,14157216000.0,55325470000.0,75089162.0
GOLF.SN,22000000.0,37372.59321986074,188.98016567261192,0.04488979085953988,,,,,2.6739336429011025,,0.0,0.0,0.0,100.0,22000000.0,22000000.0,66000000000.0,0.005069468366058101,0.004020109653840332,-480000.0,-0.13844822613210267,,Deportes Club de Golf Santiago SA,37372.59321986074,188.98016567261192,0.0055921895752266,,,,,2.6739336429011025,,0.005069468366058101,0.004020109653840332,-0.13844822613210267,,0.0,588.66667,0.0,-5386000.0,480000.0,85834000.0,,349243000.0,3000.0
AAISA.SN,459.52,12.29757388392666,1.4271826293388217,2.8126028109021126,0.020607635738269302,0.02176183844011142,0.26761781606734547,0.3371378343156714,0.1997523868723945,0.9963748441153522,1.1538317318959455,181868.0,145046.4,80.05823049832891,369.2356,261.9108843166,459520000000.0,0.12176218859886795,0.08735075397676959,-93827558000.0,-1.908138251641076,0.2572976867165738,Administradora Americana de Inversiones SA,12.29757388392666,1.4271826293388217,2.8126028109021126,0.020607635738269302,0.02176183844011142,0.26761781606734547,0.3371378343156714,0.1997523868723945,0.9963748441153522,0.12176218859886795,0.08735075397676959,-1.908138251641076,0.2572976867165738,149755767000.0,37.36672,10.0,120436917000.0,118613322000.0,42172084000.0,6635185000.0,321977013000.0,1000000000.0
MINERA.SN,14650.0,7505.66126668921,522.3801192895116,2.653620176832498,0.7088985616967648,7.95221843003413e-05,0.5968665785455924,-0.21330594982550996,-0.2675562693724999,0.5101095117826966,0.04270462633451966,10950.0,1409.05,73.56582222533318,14105.48,14192.996415399999,1831250000000.0,0.07012139614871465,0.02533855639907875,1612306000.0,2.707032751901867,0.0001067358361774744,Minera Valparaiso SA,7505.66126668921,522.3801192895116,2.653620176832498,0.7088985616967648,7.95221843003413e-05,0.5968665785455924,-0.21330594982550996,-0.2675562693724999,0.5101095117826966,0.07012139614871465,0.02533855639907875,2.707032751901867,0.0001067358361774744,1576634000.0,1.95186,1.165,431487000.0,1302556000.0,490860000.0,2485107000.0,3505589000.0,125000000.0
MOLLER.SN,384.0,40.52428291015007,1.1047317702116353,1.0667794279582126,1.4945553941874687,0.0029083072916666667,0.11785706747715233,-0.16170703601803588,1.1797278273111214,0.06990410498558021,0.9297277576261935,27307.0,63611.5,84.3062408183996,327.57939999999996,245.651427876105,102921787424.80896,-0.04792257166943805,-0.010611245263153433,130759605000.0,,0.3769909848130683,Empresa Constructora Moller y Perez Cotapos SA,40.52428291015007,1.1047317702116353,1.0667794279582126,1.4945553941874687,0.0029083072916666667,0.11785706747715233,-0.16170703601803588,1.1797278273111214,0.06990410498558021,-0.04792257166943805,-0.010611245263153433,,0.3769909848130683,130363503000.0,9.4758,1.11679,38800586000.0,200375513000.0,187832187000.0,139239512000.0,93164504000.0,268025488.08544
MOLYMET.SN,6936.3,14189.885847551246,1038.594293374103,3.906950038334187,0.45548848174258816,1.3551893660885486e-05,0.19229982406611842,-0.16628728468355342,1.7387942626624828,0.09362375842256666,0.6835679611650487,9100.0,3667.85,94.79738021146994,6001.014,4810.439655526275,922523072335.2001,0.07549887242240444,0.03610329333386494,264633000.0,1.6880118898782945,2.1224401413003987e-05,Molibdenos y Metales SA,14189.885847551246,1038.594293374103,3.906950038334187,0.45548848174258816,1.3551893660885486e-05,0.19229982406611842,-0.16628728468355342,1.7387942626624828,0.09362375842256666,0.07549887242240444,0.03610329333386494,1.6880118898782945,2.1224401413003987e-05,2063504000.0,0.48882,0.094,59266000.0,1166963000.0,298689000.0,404584000.0,888242000.0,132999304.0
MULTIX.SN,339.14,-35705.934640562795,2091.249826611123,1.6581139463551524,1.2235836149128596,5.543433390340272e-06,,-0.19718943777360992,0.4942528735632184,0.06429393622411686,0.3566685334826787,9452.0,515892.95,95.72134851176874,279.4716,264.3553,478413131584.0,0.008884451991045797,0.0021100126207329963,251674000.0,6.949057072645442,-1.2800651979856338e-05,Multiexport Foods SA,-385386.3636363636,2091.249826611123,1.6581139463551524,1.2235836149128596,5.543433390340272e-06,,-0.19718943777360992,0.4942528735632184,0.06429393622411686,0.008884451991045797,0.0021100126207329963,6.949057072645442,-1.2800651979856338e-05,704561000.0,-0.00088,0.00188,23369000.0,635182000.0,383075000.0,279918000.0,228769000.0,1410665600.0
NAVARINO.SN,1676.8,3.57949506064691,0.8170559659561281,122.81491714247396,0.0,0.22784040434160308,0.815553601956563,0.21070167506926757,0.38682235920930225,0.6974770479545394,0.0,0.0,412.3,99.95575324931053,1676.8,1645.86,237885813440.0,0.23390556751853891,0.20872213576628154,-242561095000.0,-81.97387128443513,0.30452116060410334,Navarino SA,3.57949506064691,0.8170559659561281,174.1769551973312,0.0,0.22784040434160308,0.815553601956563,0.21070167506926757,0.38682235920930225,0.6974770479545394,0.23390556751853891,0.20872213576628154,-81.97387128443513,0.30452116060410334,3398281000.0,468.44596,382.04279,72441264000.0,245186113000.0,1407684000.0,0.0,291149962000.0,141868925.0
NAVIERA.SN,37.0,6654.676258992806,623.8850013885059,0.8674362462164381,1.7740444565914986,6.837837837837838e-05,0.45503597122302164,0.07432554480022606,0.30210772833723637,0.2015521947133783,0.025092207044023596,0.0,25501.85,99.99994426143265,36.692066759999996,36.024400269110004,255663706374.0,0.09942114374520489,0.029001984825802306,639576000.0,3.81941309255079,-4.222343543830361e-05,Grupo Empresas Navieras SA,6654.676258992806,623.8850013885059,0.8674362462164381,1.7740444565914986,6.837837837837838e-05,0.45503597122302164,0.07432554480022606,0.30210772833723637,0.2015521947133783,0.09942114374520489,0.029001984825802306,3.81941309255079,-4.222343543830361e-05,969466000.0,0.00556,0.00253,119936000.0,353927000.0,408015000.0,726991000.0,409793000.0,6909829902.0
NIBSA.SN,5000.0,-13.703474409049313,0.4738228660597522,6.332657135984633,0.16714239161735003,0.138639068,,-0.028106272629928188,-1.595416073759791,0.36535660265795317,1.2682937894116044,0.0,159.9,99.99999991691539,5000.0,3182.6230646,4650000000.0,-0.03320155155831692,-0.026898856281368077,-4095915000.0,,0.22307139784946237,Nibsa SA,-13.703474409049313,0.4738228660597522,6.332657135984633,0.16714239161735003,0.138639068,,-0.028106272629928188,-1.595416073759791,0.36535660265795317,-0.03320155155831692,-0.026898856281368077,,0.22307139784946237,5939608000.0,-364.87097,693.19534,1054036000.0,11294313000.0,1783503000.0,1640301000.0,9813794000.0,930000.0
NORTEGRAN.SN,12.16,-17882.35294117647,1177.3092785674196,0.6153761548614166,0.18945072753033806,3.7828947368421054e-05,,,-1.293103448275862,,0.7134000281809214,68251006.0,62977714.0,77.6257226488348,9.91534,7.605755,2138810702517.76,-0.01885518970619828,-0.012667676260682057,316894000.0,,1.4891453443031165e-06,Norte Grande SA,-17882.35294117647,1177.3092785674196,0.6153761548614166,0.18945072753033806,3.7828947368421054e-05,,,-1.293103448275862,,-0.01885518970619828,-0.012667676260682057,,1.4891453443031165e-06,0.0,-0.00068,0.00046,3185000.0,55950000.0,90920000.0,344174000.0,1816694000.0,175889038036.0
MELON.SN,0.499,-10.942982456140351,0.7604010731130517,0.7703725246338429,0.5640452783990394,0.0010420841683366734,,0.03296983677827653,-27.20689655172414,0.2651622494960515,0.38611111111111107,2274247.0,676703.6,99.97446997122397,0.499,0.41881999999999997,139447440433.057,-0.0671482020391344,-0.03405193520602076,98838389000.0,6.658838316943773,-0.051535431397537454,Melon SA,-10.942982456140351,0.7604010731130517,0.7703725246338429,0.5640452783990394,0.0010420841683366734,,0.03296983677827653,-27.20689655172414,0.2651622494960515,-0.0671482020391344,-0.03405193520602076,6.658838316943773,-0.051535431397537454,249794366000.0,-0.0456,0.00052,5053065000.0,80802536000.0,104887614000.0,103438400000.0,183386696000.0,279453788443.0
